# 
# 02/16/2020 16:13:15
# The parameters defined in the project are:
# ,P1 - Force Y Component [N],P2 - Force Z Component [N],P3 - Force X Component [N],P6 - Equivalent Stress 4 Maximum [MPa],P7 - Equivalent Stress 4 Average [MPa],P8 - Force Reaction Maximum X Axis [N],P9 - Force Reaction Maximum Y Axis [N],P10 - Force Reaction Maximum Z Axis [N],P11 - Force Reaction Maximum Total [N],P12 - NailEqvVonMises Minimum [MPa],P13 - NailEqvVonMises 2 Maximum [MPa],P14 - NailEqvVonMises 2 Average [MPa],P15 - NailEqvVonMises 2 Minimum [MPa],P16 - Total Deformation Maximum [mm],P17 - Normal Elastic Strain Maximum [mm mm^-1],P18 - Normal Elastic Strain Average [mm mm^-1],P19 - Normal Elastic Strain Minimum [mm mm^-1],P20 - Directional Deformation Maximum [mm],P21 - Directional Deformation 2 Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
DP 10,60.43438,-138.69745,-2860.2987,167.21701909969826,44.036862198645515,2860.2982525725679,-12.086874109294685,138.69742830397058,2864.2966647034236,0.3300184753091312,129.97123851673572,19.865971838818705,0.072111865745408663,5.4034539021156585,0.0038226391188800335,-0.000341141820352684,-0.0050018816255033016,0.18495574593544006,0.13103322684764862
DP 11,48.98056,-152.36096,-2613.42143,159.52499300651832,42.12758537297902,2613.42102119081,-9.79611046763152,152.36093616663567,2618.3167079975137,0.27730081084094294,129.86303556132862,18.930159861301647,0.18030671484593833,5.1333180926408932,0.0037080672336742282,-0.00029828263220186749,-0.0047377422451972961,0.16869594156742096,0.12892076373100281
DP 12,0.17775,-87.24387,-1561.85825,104.59530011412633,24.245046667186994,1561.8580056834837,-0.035549994440876219,87.243856352699737,1564.2927961171247,0.190535989949562,129.44676732594445,11.200604651437516,0.048790572834473758,2.8885603132452804,0.0021717969793826342,-0.00016140779670780156,-0.0027015150990337133,0.095512300729751587,0.0755603015422821
DP 13,-3.86764,-22.68231,-46.74742,88.104709215565421,3.9620994086813144,46.747412687446392,3.8676393949983376,22.682306451865806,52.103418826757618,0.032182024408818115,128.96796292408555,2.1707622445454144,0.013691663992510461,0.32462650187545661,0.00025045500660780817,8.3840811428124972E-06,-0.00024205197405535728,0.013729242607951164,0.0099938111379742622
DP 14,-2.53365,-13.72122,-75.87356,87.911464946508858,3.3337296021007665,75.873548131335454,2.5336496036684317,13.721217853622353,77.145878086510962,0.022623431020558166,128.98375599565557,1.9801428198726325,0.006417196992521643,0.24517619749288294,0.00019508893456077203,2.1237252529566134E-07,-0.000203087562113069,0.008733849972486496,0.0073346816934645176
DP 15,-1.90604,-6.81609,-69.65952,87.624548737045018,2.67127302810003,69.6595091033814,1.9060397018424564,6.8160889337704216,70.018135252391176,0.013754315736800611,128.98769986396405,1.7315857430262782,0.0040707812842948133,0.15814640917195869,0.00012602854985743761,-2.356658186222485E-06,-0.00013750611105933785,0.0058583118952810764,0.0045327967964112759
DP 16,-1.27843,-0.28931,-89.36315,87.481914626810536,2.3045086839178004,89.36313602120417,1.2784298000177854,0.28930995473395804,89.3727484334443,0.00571434775856656,128.99854131322371,1.6153350071565906,0.0042563638844961005,0.1122122245381361,8.5728677731822245E-05,-7.8712136003135668E-06,-0.00011105615340056829,0.0052810343913733959,0.0026125209406018257
DP 17,-0.65082,7.06204,-91.63911,87.235709051519,2.0372431224097727,91.639095665183376,0.6508198981922293,-1.4124077790684892,91.913110132513154,0.0026071465303090461,129.00498803064571,1.4696086537784581,0.0034430210319537796,0.06967710860248659,3.1758998375153169E-05,-1.1619075503438518E-05,-6.69796372676501E-05,0.0052829734049737453,0.00080912001430988312
DP 18,-0.0232,7.01736,-124.83686,87.393128925885392,2.3045138104757465,124.83684047216599,0.023199996369770087,-1.4034717804711336,125.0339178114348,0.0036059250859756587,129.01450783048378,1.612346945698373,0.0053800841508749152,0.11508084617335211,6.0168184973008465E-05,-1.6006301014540576E-05,-0.00011148109842906706,0.0064941588789224625,0.0016677883686497808
DP 19,0.60441,14.53858,-156.40299,87.2735713156322,2.5661795560368215,156.40296553437327,-0.12088198109447605,-2.9077155451638648,157.07839820156329,0.011982252857920416,129.02892438559726,1.6667220765336133,0.0055198699003804717,0.14489132502353838,6.2833914853399619E-05,-2.3356787927692115E-05,-0.00012708592839771882,0.012411775067448616,0.002766595920547843
